202		2014-04-08 00:00:00	丁烷	爱军化工	13.0	13.5	0.0	1	
203		2014-04-09 00:00:00	轻油	精细化工	230.0	221.36	1760.0606	11	
204		2014-04-09 00:00:00	轻油	精细化工	230.0	188.58	1499.432	9	
205		2014-04-09 00:00:00	丙烷	华锦化学	23.5	23.7	0.0	1	
206		2014-04-09 00:00:00	丙烷	华锦化学	24.0	24.04	0.0	1	
207		2014-04-09 00:00:00	丙烷	宏源发燃气	15.0	15.18	0.0	1	
208		2014-04-09 00:00:00	丁烷	盐山县金燕	10.0	10.18	0.0	1	
209		2014-04-09 00:00:00	丁烷	雄县东宏	27.5	29.84	0.0	1	
240		2014-04-10 00:00:00	丁烷	盐山县金燕	23.5	26.82	0.0	1	
241		2014-04-10 00:00:00	丁烷	雄县东宏	27.5	29.38	0.0	1	
242		2014-04-10 00:00:00	丙烷	塔山石化	23.0	23.02	0.0	1	
243		2014-04-10 00:00:00	丙烷	沈阳双燃	22.0	21.88	0.0	1	
244		2014-04-10 00:00:00	丙烷	华锦化学	24.0	23.98	0.0	1	
245		2014-04-10 00:00:00	丙烷	华锦化学	23.5	23.92	0.0	1	
246		2014-04-10 00:00:00	轻油	精细化工	230.0	184.0	1464.8409	9	
247		2014-04-10 00:00:00	轻油	精细化工	230.0	225.52	1795.4065	11	
255		2014-04-11 00:00:00	丙烷	宏源发燃气	22.0	23.0	0.0	1	
256		2014-04-11 00:00:00	丙烷	华锦化学	24.0	23.9	0.0	1	
257		2014-04-11 00:00:00	丙烷	华锦化学	23.5	24.48	0.0	1	
258		2014-04-11 00:00:00	丁烷	雄县东宏	27.5	29.32	0.0	1	
259		2014-04-11 00:00:00	轻油	精细化工	230.0	221.16	1760.6895	11	
260		2014-04-11 00:00:00	轻油	精细化工	200.0	207.08	1648.6142	10	
263		2014-04-12 00:00:00	丙烷	华锦化学	23.5	24.02	0.0	1	
264		2014-04-12 00:00:00	丙烷	华锦化学	24.0	24.04	0.0	1	
265		2014-04-12 00:00:00	丙烷	塔山石化	23.0	23.16	0.0	1	
266		2014-04-12 00:00:00	丁烷	雄县东宏	27.5	28.9	0.0	1	
267		2014-04-12 00:00:00	丁烷	廊坊中信	22.0	21.94	0.0	1	
268		2014-04-12 00:00:00	轻油	精细化工	230.0	224.78	1787.2304	10	
269		2014-04-12 00:00:00	轻油	精细化工	200.0	202.42	1609.4319	11	
291		2014-04-13 00:00:00	轻油	精细化工	200.0	203.02	1616.2872	10	
292		2014-04-13 00:00:00	丙烷	沈阳双燃	22.0	21.9	0.0	1	
293		2014-04-13 00:00:00	丙烷	华锦化学	24.0	24.0	0.0	1	
294		2014-04-13 00:00:00	丙烷	华锦化学	23.5	23.62	0.0	1	
295		2014-04-13 00:00:00	轻油	精细化工	230.0	221.48	1763.2053	11	
311		2014-04-14 00:00:00	轻油	精细化工	200.0	225.6	1796.0354	11	
312		2014-04-14 00:00:00	丁烷	雄县东宏	27.5	29.72	0.0	1	
313		2014-04-14 00:00:00	丁烷	宏源发燃气	23.5	23.66	0.0	1	
314		2014-04-14 00:00:00	丙烷	塔山石化	23.0	23.06	0.0	1	
315		2014-04-14 00:00:00	丙烷	华锦化学	24.0	24.1	0.0	1	
316		2014-04-14 00:00:00	丙烷	华锦化学	23.5	23.96	0.0	1	
317		2014-04-14 00:00:00	轻油	精细化工	200.0	179.74	1430.9415	9	
327		2014-04-15 00:00:00	轻油	精细化工	200.0	220.06	1754.1487	11	
328		2014-04-15 00:00:00	轻油	精细化工	200.0	195.6	1559.1804	9	
329		2014-04-15 00:00:00	丙烷	爱军化工	24.0	22.98	0.0	1	
330		2014-04-15 00:00:00	丁烷	宏源发燃气	27.5	28.88	0.0	1	
